"year","MHW","baseline_region","latitude","longitude","site","affiliated_mpa","mpa_class","mpa_designation","zone","transect","pisaster_brevispinus","pterygophora_californica","eisenia_arborea","macrocystis_pyrifera","pisaster_giganteus","stephanocystis_osmundacea","strongylocentrotus_purpuratus","mesocentrotus_franciscanus","patiria_miniata","tethya_californiana","kelletia_kelletii","orthasterias_koehleri","pisaster_ochraceus","pycnopodia_helianthoides","loxorhynchus_grandis","neobernaya_spadicea","cancridae","lytechinus_pictus","dermasterias_imbricata","crassadoma_gigantea","henricia_leviuscula","nereocystis_luetkeana","pomaulax_gibberosus","aplysia_californica","cryptochiton_stelleri","mediaster_aequalis","loxorhynchus_crispatus_scyra_acutifrons","stylaster_californicus","haliotis_rufescens","metridium","megathura_crenulata","alaria_marginata","anthopleura_sola","pugettia_producta","megastraea_undosa","anthopleura_xanthogrammica","pugettia_richii","costaria_costata","cucumaria_miniata","cribrinopsis_albopunctata","ceratostoma_foliatum","pugettia_foliata","styela_montereyensis","apostichopus_parvimensis","apostichopus_californicus","laminaria_setchellii","balanus_nubilus","laminaria_farlowii","centrostephanus_coronatus","pleurophycus_gardneri","pachycerianthus_fimbriatus","haliotis_walallensis","haliotis_kamtschatkana","linckia_columbiae","solaster_dawsoni","craniella_arb","aplysia_vaccaria","cryptolithodes_sitchensis","leptasterias_hexactis","whole_urchin_test","macrocystis_stipes","urticina"
2007,"before","CENTRAL",36.510347,-121.945786,"WESTON_DC","Point Lobos SMR","SMR","SMR","INNER","1",0,4,24,0,8,36,2,0,36,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4
2007,"before","CENTRAL",36.510347,-121.945786,"WESTON_DC","Point Lobos SMR","SMR","SMR","INNER","2",0,3,20,0,9,21,2,0,41,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
2007,"before","CENTRAL",36.510347,-121.945786,"WESTON_DC","Point Lobos SMR","SMR","SMR","MID","1",0,20,6,22,5,0,0,0,59,27,0,2,0,0,0,0,0,0,0,1,2,0,2,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,6,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0
2007,"before","CENTRAL",36.510347,-121.945786,"WESTON_DC","Point Lobos SMR","SMR","SMR","MID","2",0,13,0,18,2,0,1,0,61,7,0,2,0,1,1,0,0,0,0,0,5,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,154,1
2007,"before","CENTRAL",36.510347,-121.945786,"WESTON_DC","Point Lobos SMR","SMR","SMR","OUTER","1",0,8,0,41,1,0,0,0,27,19,0,0,0,0,1,0,0,0,0,0,7,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,42,2
2007,"before","CENTRAL",36.510347,-121.945786,"WESTON_DC","Point Lobos SMR","SMR","SMR","OUTER","2",0,149,2,1,0,0,0,0,78,9,0,2,0,0,0,0,0,0,0,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,4
2007,"before","CENTRAL",36.512613,-121.948765,"WESTON_UC","Point Lobos SMR","SMR","SMR","INNER","1",0,28,69,6,10,30,3,0,13,22,0,1,0,2,0,0,0,0,3,4,5,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,17,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0
2007,"before","CENTRAL",36.512613,-121.948765,"WESTON_UC","Point Lobos SMR","SMR","SMR","INNER","2",0,2,63,2,12,8,1,0,11,6,0,1,1,7,0,0,0,0,5,0,5,0,0,0,3,0,0,1,1,0,0,0,0,0,0,35,0,0,0,3,0,0,3,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3
2007,"before","CENTRAL",36.512613,-121.948765,"WESTON_UC","Point Lobos SMR","SMR","SMR","MID","1",0,27,8,33,10,0,3,0,86,26,0,2,0,0,0,0,0,0,6,3,13,2,0,0,2,2,0,0,5,0,0,0,0,0,0,0,0,0,7,19,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0
2007,"before","CENTRAL",36.512613,-121.948765,"WESTON_UC","Point Lobos SMR","SMR","SMR","MID","2",0,17,13,14,8,0,0,0,86,29,0,1,0,0,0,0,0,0,5,1,7,3,0,0,5,14,0,0,1,0,0,0,0,0,0,0,0,0,12,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1
2007,"before","CENTRAL",36.512613,-121.948765,"WESTON_UC","Point Lobos SMR","SMR","SMR","OUTER","1",0,110,0,11,4,1,14,1,23,4,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,36,1
